product_id,product_code,original_name,display_name,brand,display_category,display_subcategory,source_family,source_subfamily,price,currency,package_amount,package_unit,canonical_type,recipe_eligible,intelligence_type,featured,curation_version,review_status,override_decision,override_product_type,raw_weight,raw_weight_source,raw_weight_class,verified_weight_unit,verified_weight_basis,weight_kind,labelled_name_amount,labelled_name_unit,image_path,image_status,barcode_count,classification_notes,weight_quality_notes
d5bd5566-cf79-4221-a61d-33f45e2637c0,54491472CB,COCA COLA 0.5 L,"Coca-Cola 0,5 L",COCA COLA,drinks,Soft drinks,,SODA,1.700,TND,500,ml,,false,none,false,3,automatic_metadata,,,0,authorised_source.Poids,zero,UNKNOWN,UNKNOWN,unknown,500,ml,,none,1,catalogue-only drink: CanonicalType left null on purpose (not non_food),"source weight is zero; do not treat as a real packed mass; curated PackageAmount is volume (ml); litres are not kilograms; name parser inferred 500 ml from the label (confidence high); inferred, not verified; SB_Products.Quantity is imported stock quantity (Qte), not packaged weight"
c4bf88c0-224d-4ec4-bdc2-7954041c5a0d,6194019605326CB,BOGA CIDRE 0.5 L,"Boga Cidre 0,5 L",,drinks,Soft drinks,,,1.700,TND,500,ml,,false,none,false,3,automatic_metadata,,,0,authorised_source.Poids,zero,UNKNOWN,UNKNOWN,unknown,500,ml,,none,1,catalogue-only drink: CanonicalType left null on purpose (not non_food),"source weight is zero; do not treat as a real packed mass; curated PackageAmount is volume (ml); litres are not kilograms; name parser inferred 500 ml from the label (confidence high); inferred, not verified; SB_Products.Quantity is imported stock quantity (Qte), not packaged weight"
af7fdb56-23e4-43e1-b459-b21421085eaa,6191534802094CB,JUS DELICE ORANGE 1 L,Jus Délice orange 1 L,DELICE,drinks,Juice,BOISSONS,Jus,3.500,TND,1000,ml,,false,none,false,3,automatic_metadata,,,0,authorised_source.Poids,zero,UNKNOWN,UNKNOWN,unknown,1000,ml,,none,1,catalogue-only drink: CanonicalType left null on purpose (not non_food),"source weight is zero; do not treat as a real packed mass; curated PackageAmount is volume (ml); litres are not kilograms; name parser inferred 1000 ml from the label (confidence high); inferred, not verified; SB_Products.Quantity is imported stock quantity (Qte), not packaged weight"
16cefdae-93ee-4274-8635-e10a062dc732,6194007840050CB,VIVA CITRON 1L,Viva Citron 1 l,,drinks,Soft drinks,BOISSONS,Soda,2.800,TND,1000,ml,,false,none,false,3,automatic_metadata,,,0,authorised_source.Poids,zero,UNKNOWN,UNKNOWN,unknown,1000,ml,,none,1,catalogue-only drink: CanonicalType left null on purpose (not non_food),"source weight is zero; do not treat as a real packed mass; curated PackageAmount is volume (ml); litres are not kilograms; name parser inferred 1000 ml from the label (confidence high); inferred, not verified; SB_Products.Quantity is imported stock quantity (Qte), not packaged weight"
30ed373f-124f-4492-8699-b8a00c053e3e,6194019604244CB,BOGA LIM 1 L,Boga Lim 1 l,BOGA,drinks,Soft drinks,BOISSONS,Soda,2.800,TND,1000,ml,,false,none,false,3,automatic_metadata,,,0,authorised_source.Poids,zero,UNKNOWN,UNKNOWN,unknown,1000,ml,,none,1,catalogue-only drink: CanonicalType left null on purpose (not non_food),"source weight is zero; do not treat as a real packed mass; curated PackageAmount is volume (ml); litres are not kilograms; name parser inferred 1000 ml from the label (confidence high); inferred, not verified; SB_Products.Quantity is imported stock quantity (Qte), not packaged weight"
4a07ff21-9ea9-4f4f-a386-8d3c872f4f3b,5449000133328CB,COCA ZERO 1 L,Coca Zero 1 l,COCA COLA,drinks,Soft drinks,BOISSONS,Soda,2.800,TND,1000,ml,,false,none,false,3,automatic_metadata,,,0,authorised_source.Poids,zero,UNKNOWN,UNKNOWN,unknown,1000,ml,,none,1,catalogue-only drink: CanonicalType left null on purpose (not non_food),"source weight is zero; do not treat as a real packed mass; curated PackageAmount is volume (ml); litres are not kilograms; name parser inferred 1000 ml from the label (confidence high); inferred, not verified; SB_Products.Quantity is imported stock quantity (Qte), not packaged weight"
f024c13c-70e0-44db-90c5-d085fec895f4,OP25_6194007892202,JUS OH  25CL,Jus Oh 25 cl,,drinks,Juice,BOISSONS,Jus,1.400,TND,250,ml,,false,none,false,3,automatic_metadata,,,0,authorised_source.Poids,zero,UNKNOWN,UNKNOWN,unknown,250,ml,,none,4,catalogue-only drink: CanonicalType left null on purpose (not non_food),"source weight is zero; do not treat as a real packed mass; curated PackageAmount is volume (ml); litres are not kilograms; name parser inferred 250 ml from the label (confidence high); inferred, not verified; SB_Products.Quantity is imported stock quantity (Qte), not packaged weight"
9bd35753-e257-4c32-81d2-20cb7d7ecb70,6221208042980CB,C2 ALIEN 23CL,C2 Alien 23 cl,,drinks,Juice,BOISSONS,Jus,5.500,TND,230,ml,,false,none,false,3,automatic_metadata,,,0,authorised_source.Poids,zero,UNKNOWN,UNKNOWN,unknown,230,ml,,none,1,catalogue-only drink: CanonicalType left null on purpose (not non_food),"source weight is zero; do not treat as a real packed mass; curated PackageAmount is volume (ml); litres are not kilograms; name parser inferred 230 ml from the label (confidence high); inferred, not verified; SB_Products.Quantity is imported stock quantity (Qte), not packaged weight"
3c8778cb-10e1-4886-aaa5-3b9a801859c2,6194003762325CB,CAFE DELICE 45 G,Cafe Delice 45 g,,drinks,Coffee and tea,PATISSERIE,Café,6.500,TND,45,g,,false,none,false,3,automatic_metadata,,,0,authorised_source.Poids,zero,UNKNOWN,UNKNOWN,unknown,45,g,,none,1,catalogue-only drink: CanonicalType left null on purpose (not non_food),"source weight is zero; do not treat as a real packed mass; curated PackageAmount is labelled net contents in grams for recipes; not proven gross packaged weight; name parser inferred 45 g from the label (confidence high); inferred, not verified; SB_Products.Quantity is imported stock quantity (Qte), not packaged weight"
88fffbd6-0912-4fba-b8d4-2027ec71fbb4,6194007892455CB,VIVA RAOUA 1.5L,Viva Raoua 1.5 l,,drinks,Juice,BOISSONS,Jus,3.500,TND,1500,ml,,false,none,false,3,automatic_metadata,,,0,authorised_source.Poids,zero,UNKNOWN,UNKNOWN,unknown,1500,ml,,none,1,catalogue-only drink: CanonicalType left null on purpose (not non_food),"source weight is zero; do not treat as a real packed mass; curated PackageAmount is volume (ml); litres are not kilograms; name parser inferred 1500 ml from the label (confidence high); inferred, not verified; SB_Products.Quantity is imported stock quantity (Qte), not packaged weight"
